,category,content,id
0,1,功能 强大 结实 感觉 小心 摔倒 地上 放 Apple pencil 它会 放心 放心使用 放 Apple pencil 轻易 脱落 贴合 边缘 保护 到位 保护 到位 ,1011895996206915584
1,1,PiLife 寸 经典 迷你 静音 复古 床头 闹钟 背光灯 旅行 时钟 电池 操作 超 大声 圆形 双玲 闹钟 薄荷 绿 粉色 紫色 蓝色 黄色 黑色 白色 独特 造型 设计 采用 薄荷 绿 外壳 打破 传统 造型 赏心悦目 受欢迎 新款 闹钟 适合 装饰 卧室 厨房 办公室 儿童房 书房 时钟 铃声 模式 超大 声响 铃声 适合 起床 困难 症 人群 适合 轻度 失聪 失聪 人群 贪睡 按钮 特别 适合 唤醒 起床 困难 症 人群 使用方便 闹钟 时间 设置 非常容易 调动 背面 按钮 3D 表盘 数字 清晰可见 闹钟 背面 背光灯 按键 夜晚 躺 床上 按下 按钮 看清 时间 注 夜灯 动能 下夜 灯亮 松手 自动 关闭 节能 省 电 扫描 静音 机芯 扫描 静音 机芯 秒针 声响 闹钟 安静 运行 打扰到 轻度 睡眠 保证 睡眠 最佳 工作 环境 完美 礼物 迷你 复古 风格 设计 装饰 最佳 选择 礼物 送人 儿童 青少年 老人 规格 重量 0.18 kg 类型 双铃 闹钟 小夜灯 功能 按下灯 按钮 功能 闹铃 夜间 照明 机芯 扫描 静音 机芯 动力装置 1x AA 电池 包括 产品 尺寸 12cm 长 宽 高 包裹 1x 静音 双铃 闹钟 ,912604568820387840
2,1,Ks 安克 十字架 饰物 吊坠 项链 彩色 晶体 微 镶嵌 独特 反面 穿戴 Ks 经典 埃及 安克 十字架 饰物 吊坠 项链 蓝色 晶体 镶嵌 独特 反面 穿戴 男女 皆宜 新奇 珠宝 礼物 生日 情人节 逾越节 Ks 古董 银色 调 埃及 安克 十字架 饰物 吊坠 项链 珠宝 礼物 女性 男性 黑色 纳米 锆石 微 镶嵌 完美 反面 穿戴 28 Ks 玫瑰 金色 调 复古 埃及 安克 符号 十字架 饰物 吊坠 项链 紫色 晶体 微 镶嵌 完美 反面 穿戴 新奇 珠宝 礼物 朋友 姐妹 伙计 安克 象形文字 符号 古代 埃及 做 生命 象征 无铅 黄铜 制造 环保 电镀 无铅 镍 镉 耐用 不易 褪色 微晶 镶嵌 蓝色 创建 尖晶石 微 镶嵌 黑色 纳米 锆石 微 镶嵌 紫色 创建 尖晶石 微 镶嵌 原配 28 穿戴 长度 链 自由 更换 裁剪 详细 尺寸 完美 反面 展示 详见 细节 图 配有 白色 礼品盒 擦布 带有 Karseer 标识 安克 生命 钥匙 这是 一款 新奇 珠宝 风格 吊坠 项链 创作 根源 追溯到 古代 埃及 文化 象形文字 流行 趋势 微 镶 工艺 造形 原始 黄金 比例 设计 制造 Karseer 28 穿戴 长度 剪断 缩小 长度 椭圆 穿链 挂 环 最小 直径 3mm 自由 更换 链型 匹配 饰物 高 40mm 宽 20mm 厚 3mm 链 2.5 mm 项链 总重量 12g ,934714418979229696
3,1,﻿ 简化版 光纤 打标机 经济型 系列 匠心 设计 一体式 设计 极简 主义 采用 紧凑 结构设计 前代 打标机 尺寸 散热 性能 更好 空间 地点 低 Class1 防护罩 定制 Class1 级别 防护罩 富有 工业 设计 美感 提升 设备 性能 符合 欧洲 制造 标准 拆式 侧门 侧门 活动 拆式 设计 方便快捷 UIY 选配 提供 UIY 升级 模式 Update It Youself 用户 需求 入门 机型 基础 选配 升级 设备 符合 用户 预期 可选 3D 标刻 软件 3D 振镜 自动 对焦 电动 升降 多种 拓展 功能 电动 升降 升级 手动 升降 电动 升降 薄膜 按键 手柄 控制 运行 数据 监控 功能 互联网 计算机技术 平台 开发 运行 数据 监控 系统 数据 采集 传输 数据分析 显示 三大 功能 打开 手机 APP 软件 即可 直观 各项 参数 自动 对焦 独家 研创 高精度 自动 对焦 功能 一键 精准 对焦 保护 进程 提醒 简约 维护 优点 快速 对接 3D 振镜 选装 3D 振 镜头 分钟 快速 对接 配合 3DLASER 软件 套装 轻松 3D 标刻 旅 ,1125673232763850752
4,1,折叠式 咖啡杯 Rocontrip 硅胶 旅行 杯 防漏 咖啡杯 可折叠 礼物 杯 350 毫升 100% 食品级 硅胶 不含 BPA 用于 户外活动 露营 远行 身材 作用 寻求 一款 轻巧 便携 占 空间 盛放 饮品 杯子 家 杯子 不二 之选 携带 硅胶 材料 露营 野餐 远足 户外活动 带来 便利 先拉出 折叠 杯 底部 白色 塑料 环 杯子 底部 往外 拉伸 展开 杯子 折叠 杯子 时要 杯口 敞开 按压 即可 需 简单 拉伸 按压 完美 折叠 杯 可否 采用 100% 食品级 硅胶 成分 制作 无毒 无害 无味 不含 BPA FDA 放心使用 健康 环保 放 咖啡 牛奶 热水 人群 日常 精美 外观 小巧 精致 外包装 设计 美观 折叠式 杯子 赠送 亲朋好友 礼品 之选 聚会 时 旅行 时 随时随地 家人 好友 尽享 惬意 咖啡 时光 隔热 设计 杯 底部 白色 塑料 环 杯子 展开 底部 往上 套 杯身 隔热层 请 加热 饮时 塑料 环 烫手 旅行 硅胶 杯 Rocontrip 折叠式 咖啡杯 轻巧 设计 质量 生活 带来 欢乐 时光 便利 体验 小孩 大人 居家 时 旅途 中 汽车 户外运动 时 一款 错过 完美 折叠 杯 食品级 硅胶 制作 盛放 咖啡 热茶 冷热水 牛奶 饮品 完美 设计 供 日常 请 烫手 小孩子 请 大人 监督 初次 异味 请 开水烫 遍 屏幕 光线 实物 图片 一点点 色差 敬请 谅解 商品 请 犹豫 提供 30 天 无偿 退款 Q 杯子 小孩子 异味 好看 出门 Q 漏水 压坏 A1 有个 盖子 材料 硅胶 压坏 A2 折叠 很小 压坏 Q 喝咖啡 异味 热水 烫过 异味 放 办公室 里 ,940865423702740992
5,1,双层 防护 加压 多个 调节 点 加压 设计 平 三角形 固定 护肩 贴合 肩部 提供 强大 稳固 力 缓解 疼痛 减少 肩部 运动 脱臼 现象 舒适 人体 工程学 理念 整体 弧度 外形 符合人体 弧度 固定 支撑 稳固 肩膀 肩部 脱臼 扭伤 贴 肩 自由 调节 松紧 加宽 肩带 肩膀 压力 采用 升级版 魔术 贴 贴力 更强 不易 脱落 通用 尺寸 适合 男士 女士 易于 穿戴 刺激 皮肤 穿 衣服 外面 衣服 产品 篮球 足球 登山 骑行 滑行 舞蹈 跑步 体育运动 日常 产品 材质 氯丁橡胶 适度 压力 人体 血液循环 透气 排湿 舒适 效果 特 舒缓 肌肉 僵硬 预防 运动 中 拉伤 尺寸 适合 52 英寸 胸围 14 英寸 臂围 颜色 黑色 左肩 右肩 包装 磨砂 OPP 袋 肩撑 漂白 冷水 手洗 洗衣机 清洗 洗衣机 脱水 热水 清洗 ★ 支架 设计 有助于 腹股沟 髋关节 腿 筋 肌肉 拉伤 髋关节 疼痛 坐骨神经 痛 提供 舒缓 压缩 增加 血液 流动 舒缓 恢复 目的 ★ 方便使用 宽 棒状 贴片 设计 非常容易 穿戴 下滑 全天 佩戴 舒适 ★ 通用 尺寸 快速 轻松 穿 脱下 男士 女士 佩戴 左腿 右腿 轻松 调节 松紧 宽 处 腰围 可达 45in 大腿 高达 26in ★ 透气 耐用 氯丁橡胶 本品 采用 轻巧 透气 耐用 乳胶 氯丁橡胶 材料 制成 情况 清爽 舒适 ★ 防滑 设计 轻巧 透气 氯丁橡胶 牢固地 优质 魔术 贴 腰带 身体 活动 期间 下滑 移位 ★ 产品 提供 温和 温度 压力 加快 受伤 恢复 ★ 独特 市场 革命性 设计 提供 舒适 压缩 ★ 符合人体 工程学 设计 身体 自然 形状 ★ 穿 一条 腿 方式 妨碍 运动 ★ 独特 条 压缩 控制 设计 ★ 圆锥形 弯曲 边缘 灵活 移动性 ★ 灵活 耐用 透气 氯丁橡胶 强大 魔术 贴 完美 ★ 多功能性 用于 肌肉 拉伤 ★ 稳定性 防滑 设计 ★ 耐久性 双层 缝合 清洗 ★ 漂白 ★ 冷水 洗 ★ 洗衣机 热水 模式 ,924885825571762176
6,1,件 6mm 套 木工 打孔 调节 长度 带有 中心 定位 钻头 易于 钻孔 长度 送 六角 调节 杆 松紧 六角 空 开关 调整 钻头 长度 尺寸 大小 3mm 4mm 5mm 6mm 钻头 中心点 设计 有助于 锁定 钻孔 位置 无需 中心 定位器 调节 钻头 钻头 长度 松紧 六角 螺丝 孔 调节 钻孔 深度 多种 木材 加工 工作 携带 整体 重量 110 克 功能 等于 中心 定位器 多个 长度 钻头 专业 保证 一年 之中 产品 退回 产品 材料 钻头 高速钢 4241 倒角 装置 45 号 钢 材料 钻孔 长度 六角 螺丝 孔 松紧 调整 简单 用于 台式 电钻 手 电钻 手钻 木板 效果 优点 五边 锋刃 设计 钻孔 时 残渣 排出 钻孔 光滑 干净 整齐 ,934341520615538688
7,1,袖型 短袖 面料 成分 棉麻 面料 棉麻 尺寸 均码 衣长 62 71 胸围 107 春夏 时节 棉麻 新 宠儿 自带 文艺 范儿 舒适 透气 大自然 气息 微微 粗粝 触感 喜爱 率性 翻领 简约 干练 开衫 设计 穿 脱 前片 刺绣 花朵 装饰 精致 清秀 温婉 美好 尽显 女性 柔美 气质 ,1006445926728691712
8,1,半透明 科幻 吸头 增加 美感 更换 吸头 形状 菱形 设计 感在 以美 定论 时代 里 内外 兼修 ,1007518154898812928
9,1,件套 12 20 32mm 高速钢 钻头 套件 镀 钛 金属 开孔 切割 强力 工具 英寸 快速 更换 六角 柄 接头 广泛应用 镀 钛 六角 柄 阶梯 钻 用于 包括 钢铁 铜 木材 塑料 切割 孔 适合 便利 这组 套件 相当于 15 钻头 节省 资金 储存 制造 材料 心得 制作 工艺技术 镀 钛 高速钢 材料 耐用 持久 锋利 设计 双直 槽 设计 残渣 顺利 高 阶梯 设计 阶梯 尺寸 缓冲 时间 钻孔 钻孔 深度 常用 尺寸 挑选 尺寸 市面上 常见 开孔 大小 开孔 作业 指引 柄 英寸 六角 柄 常用 尺寸 表面 镀 钛 材料 HSS 高速钢 硬度 低于 25 度 开孔 作业 碳钢 厚度 低于 5mm 钢板 木板 PVC 板 尺寸 大小 包裹 包括 高速钢 阶梯 钻 12 20 32mm ,934341737863708672
